Ville;Indice_Criminalite;Indice_Pollution;Score_Infrastructures;NiveauGlobalRisque;lat;lng
Rabat;30.12;55;4.5;Faible;34.021845;-6.840893
Casablanca;61.94;55;4.8;Modéré;33.594514;-7.620028
Tanger;55.11;59;3.8;Modéré;35.762568;-5.829506
Agadir;39.12;75;3.4;Faible;30.420516;-9.583853
Marrakech;54.45;57;2.5;Modéré;31.625825;-7.989160
Fes;60.5;55;2;Modéré;34.034653;-5.016192
Tetouan;22.09;60;3.6;Faible;35.570175;-5.374277
Safi;34.71;68;3;Faible;32.299424;-9.239533
Oujda;44.65;58;3;Modéré;34.677874;-1.929306
Nador;39.23;58;2.9;Faible;35.173992;-3.128119
Mohammedia;33.34;54;2.5;Faible;33.695838;-7.389329
Meknes;50.45;54;3.2;Modéré;33.898413;-5.532158
Larache;35;57;2.5;Faible;35.195232;-6.152913
El Jadida;42.08;57;2.5;Faible;33.243330;-8.499884
Kenitra;45.81;54;3.8;Faible;34.264570;-6.570169
Settat;46.25;55;2.1;Modéré;33.002397;-7.619867
Sidi Slimane;22.46;54;2.7;Faible;34.259878;-5.927253
Al Hoceima;32.41;60;4;Faible;35.245114;-3.930186
Berrechid;25;55;1.8;Faible;33.267674;-7.581146
Guelmim;40;69;2.1;Modéré;29.986385;-10.057435
Ouarzazate;24.53;65;3;Faible;30.920193;-6.910923
Dakhla;30.2;129;2.5;Modéré;23.694066;-15.943127
Laayoune;32.43;65;3.7;Faible;27.154512;-13.195392
Er Rachidia;23.4;67;2.4;Faible;31.929089;-4.434081
Beni Mellal;40.4;56;2.5;Faible;32.333419;-6.353335
Essaouira;19.4;68;2.1;Faible;31.511828;-9.762090
Sale;61.03;55;4.1;Modéré;34.044889;-6.814017
Taroudant;28.4;77;1.5;Faible;30.470651;-8.877922
Ifrane;10.91;55;2.6;Faible;33.527605;-5.107408
Chefchaouen;14.59;58;2.7;Faible;35.170083;-5.276658
Merzouga;19.54;81;2.2;Faible;31.099916;-4.014087
Khenifra;21.44;54;3.3;Faible;32.935772;-5.669650
Tiznit;20.32;78;3.5;Faible;29.696862;-9.731281
Ben Guerir;25.64;62;2.3;Faible;32.239034;-7.958131
Inzegane;37.59;77;3;Modéré;33.556315;-7.600609
Asilah;15.03;58;3.7;Faible;35.461928;-6.036545
Azilal;20.48;57;1.5;Faible;31.959295;-6.570991
Sidi Ifni;21.4;69;2;Faible;29.379125;-10.171563
Tinghir;21.34;59;2.2;Faible;31.521333;-5.531164
Khouribga;29.3;55;2.5;Faible;32.885648;-6.908798
Khemisset;33.21;54;2.3;Faible;33.830287;-6.072605
Berkane;30.58;57;2;Faible;34.926675;-2.329408
Fquih Ben Salah;30.39;55;1.5;Faible;32.421214;-6.747078
Ksar El Kebir;35.4;56;2.1;Faible;35.000000;-5.898724
Martil;23.49;61;3.1;Faible;35.617441;-5.274154
Sidi Kacem;22.5;55;2.9;Faible;34.226412;-5.711434
Taza;17.49;58;1.9;Faible;34.230155;-4.010104
Azrou;18.45;55;1.8;Faible;33.436117;-5.221913
Ait Melloul;35;57;2.3;Faible;30.338794;-9.504470
Agdal-Riyad;15.84;55;4.0;Faible;33.9866;-6.8514
El Youssoufia;47.97;55;3.9;Modéré;33.9975;-6.8147
Hassan;15.84;50;4.6;Faible;34.0220;-6.8380
Souissi;10.42;50;4.6;Faible;33.9799;-6.8405
Yacoub El Mansour;42.98;55;4.1;Modéré;33.9834;-6.8873
Temara;44.34;60;3.9;Modéré;33.9213;-6.8999
Touarga;10.0;55;3.5;Faible;34.0032;-6.8384
Ain Chock;40.67;55;4.5;Modéré;33.5397;-7.5941
Ain Sebaa;29.64;55;4.6;Faible;33.6005;-7.5356
Al Fida;15.97;55;4.2;Faible;33.5668;-7.5870
Anfa;14.34;55;4.3;Faible;33.5731;-7.5898
Ben M'sik;22.86;55;4.6;Faible;33.5568;-7.5807
Essoukhor Assawda;18.96;55;4.5;Faible;33.5930;-7.5973
Hay Hassani;30.97;55;4.5;Faible;33.5709;-7.6779
Hay Mohammedi;65.24;55;4.8;Élevé;33.5903;-7.5654
Maarif;11.76;55;4.7;Faible;33.5657;-7.6372
Mers Sultan;9.74;55;4.7;Faible;33.5763;-7.5995
Moulay Rachid;90;80;4.5;Élevé;33.5652;-7.5294
Sbata;80;55;4.6;Élevé;33.5415;-7.5662
Sidi Belyout;45.35;55;4.2;Modéré;33.5968;-7.6167
Sidi Bernoussi;43.25;55;4.5;Modéré;33.6106;-7.4974
Sidi Moumen;42.75;55;4.5;Modéré;33.5814;-7.5242
Sidi Othman;32.74;55;4.7;Faible;33.5620;-7.5721
Agdal Fes;35.42;55;3.2;Faible;34.0382;-4.9992
El Mariniyine;40.44;55;3.0;Modéré;34.0649;-5.0003
Fes Medina;30.49;55;3.2;Faible;34.0631;-4.9769
Jnan El Ouard;49.30;55;3.0;Modéré;34.0549;-4.9540
Saiss;25.40;55;3.4;Faible;33.9362;-4.9715
Zouagha;50.49;55;3.0;Modéré;34.0121;-5.0375
